Month,Monthly U.S. male (20 years and over) unemployment figures (10**3) 1948-1981
1948-01,1511
1948-02,1694
1948-03,1614
1948-04,1482
1948-05,1245
1948-06,1108
1948-07,1195
1948-08,1177
1948-09,1146
1948-10,981
1948-11,1163
1948-12,1344
1949-01,1923
1949-02,2292
1949-03,2267
1949-04,2081
1949-05,2154
1949-06,2163
1949-07,2547
1949-08,2293
1949-09,2115
1949-10,2419
1949-11,2108
1949-12,2270
1950-01,2882
1950-02,3041
1950-03,2802
1950-04,2429
1950-05,1930
1950-06,1779
1950-07,1826
1950-08,1443
1950-09,1328
1950-10,1074
1950-11,1186
1950-12,1343
1951-01,1522
1951-02,1450
1951-03,1216
1951-04,995
1951-05,859
1951-06,919
1951-07,954
1951-08,878
1951-09,862
1951-10,856
1951-11,928
1951-12,914
1952-01,1230
1952-02,1312
1952-03,1152
1952-04,1022
1952-05,862
1952-06,930
1952-07,1062
1952-08,1008
1952-09,894
1952-10,702
1952-11,752
1952-12,835
1953-01,1334
1953-02,1188
1953-03,1034
1953-04,1070
1953-05,894
1953-06,822
1953-07,886
1953-08,768
1953-09,814
1953-10,788
1953-11,1099
1953-12,1529
1954-01,2068
1954-02,2386
1954-03,2444
1954-04,2329
1954-05,2099
1954-06,1978
1954-07,2015
1954-08,1924
1954-09,1885
1954-10,1720
1954-11,1739
1954-12,1831
1955-01,2245
1955-02,2248
1955-03,2123
1955-04,2013
1955-05,1485
1955-06,1381
1955-07,1332
1955-08,1236
1955-09,1095
1955-10,1118
1955-11,1253
1955-12,1433
1956-01,1788
1956-02,1863
1956-03,1824
1956-04,1504
1956-05,1428
1956-06,1384
1956-07,1340
1956-08,1199
1956-09,1122
1956-10,1028
1956-11,1281
1956-12,1543
1957-01,1809
1957-02,1810
1957-03,1618
1957-04,1521
1957-05,1353
1957-06,1402
1957-07,1327
1957-08,1258
1957-09,1307
1957-10,1337
1957-11,1690
1957-12,2062
1958-01,2759
1958-02,3198
1958-03,3318
1958-04,3073
1958-05,2804
1958-06,2752
1958-07,2779
1958-08,2601
1958-09,2190
1958-10,2072
1958-11,2132
1958-12,2497
1959-01,2850
1959-02,2926
1959-03,2577
1959-04,1933
1959-05,1689
1959-06,1659
1959-07,1691
1959-08,1650
1959-09,1662
1959-10,1630
1959-11,2021
1959-12,1970
1960-01,2417
1960-02,2306
1960-03,2454
1960-04,2025
1960-05,1740
1960-06,1787
1960-07,1863
1960-08,1890
1960-09,1703
1960-10,1806
1960-11,2085
1960-12,2638
1961-01,3211
1961-02,3363
1961-03,3190
1961-04,2773
1961-05,2522
1961-06,2330
1961-07,2383
1961-08,2275
1961-09,1973
1961-10,1880
1961-11,2008
1961-12,2309
1962-01,2591
1962-02,2548
1962-03,2458
1962-04,2115
1962-05,1807
1962-06,1847
1962-07,1803
1962-08,1886
1962-09,1621
1962-10,1536
1962-11,1826
1962-12,2151
1963-01,2663
1963-02,2787
1963-03,2499
1963-04,2066
1963-05,1770
1963-06,1745
1963-07,1723
1963-08,1683
1963-09,1454
1963-10,1466
1963-11,1769
1963-12,2023
1964-01,2406
1964-02,2348
1964-03,2148
1964-04,1786
1964-05,1467
1964-06,1609
1964-07,1510
1964-08,1501
1964-09,1378
1964-10,1394
1964-11,1395
1964-12,1676
1965-01,2033
1965-02,2108
1965-03,1835
1965-04,1586
1965-05,1320
1965-06,1317
1965-07,1271
1965-08,1279
1965-09,1094
1965-10,1023
1965-11,1108
1965-12,1249
1966-01,1529
1966-02,1512
1966-03,1403
1966-04,1103
1966-05,941
1966-06,1049
1966-07,1035
1966-08,1035
1966-09,871
1966-10,839
1966-11,971
1966-12,1149
1967-01,1312
1967-02,1310
1967-03,1262
1967-04,1069
1967-05,955
1967-06,1062
1967-07,989
1967-08,986
1967-09,839
1967-10,893
1967-11,968
1967-12,1069
1968-01,1319
1968-02,1391
1968-03,1219
1968-04,969
1968-05,843
1968-06,997
1968-07,921
1968-08,913
1968-09,816
1968-10,810
1968-11,844
1968-12,873
1969-01,1142
1969-02,1134
1969-03,1048
1969-04,901
1969-05,810
1969-06,905
1969-07,945
1969-08,886
1969-09,914
1969-10,906
1969-11,909
1969-12,1052
1970-01,1456
1970-02,1678
1970-03,1606
1970-04,1498
1970-05,1404
1970-06,1585
1970-07,1669
1970-08,1625
1970-09,1566
1970-10,1641
1970-11,1821
1970-12,2115
1971-01,2553
1971-02,2590
1971-03,2379
1971-04,2079
1971-05,1914
1971-06,2004
1971-07,1994
1971-08,2001
1971-09,1842
1971-10,1769
1971-11,1939
1971-12,2100
1972-01,2502
1972-02,2478
1972-03,2350
1972-04,2071
1972-05,1858
1972-06,1921
1972-07,1868
1972-08,1759
1972-09,1625
1972-10,1667
1972-11,1599
1972-12,1684
1973-01,2026
1973-02,2093
1973-03,1957
1973-04,1725
1973-05,1558
1973-06,1579
1973-07,1484
1973-08,1457
1973-09,1343
1973-10,1281
1973-11,1396
1973-12,1582
1974-01,2094
1974-02,2226
1974-03,2003
1974-04,1855
1974-05,1624
1974-06,1744
1974-07,1733
1974-08,1805
1974-09,1728
1974-10,1863
1974-11,2146
1974-12,2665
1975-01,3719
1975-02,3950
1975-03,4009
1975-04,3731
1975-05,3518
1975-06,3501
1975-07,3418
1975-08,3184
1975-09,3141
1975-10,3060
1975-11,3184
1975-12,3297
1976-01,3750
1976-02,3723
1976-03,3473
1976-04,3057
1976-05,2761
1976-06,3035
1976-07,2981
1976-08,2818
1976-09,2696
1976-10,2710
1976-11,2978
1976-12,3196
1977-01,3611
1977-02,3811
1977-03,3386
1977-04,2855
1977-05,2637
1977-06,2641
1977-07,2587
1977-08,2532
1977-09,2221
1977-10,2371
1977-11,2387
1977-12,2485
1978-01,2996
1978-02,2979
1978-03,2834
1978-04,2347
1978-05,2147
1978-06,2097
1978-07,2150
1978-08,2090
1978-09,1952
1978-10,1979
1978-11,2054
1978-12,2309
1979-01,2693
1979-02,2719
1979-03,2596
1979-04,2263
1979-05,2010
1979-06,2090
1979-07,2217
1979-08,2209
1979-09,2046
1979-10,2152
1979-11,2272
1979-12,2429
1980-01,3206
1980-02,3182
1980-03,3228
1980-04,3322
1980-05,3410
1980-06,3507
1980-07,3675
1980-08,3547
1980-09,3303
1980-10,3210
1980-11,3308
1980-12,3345
1981-01,4066
1981-02,4043
1981-03,3881
1981-04,3403
1981-05,3400
1981-06,3392
1981-07,3221
1981-08,3290
1981-09,3145
1981-10,3421
1981-11,3773
1981-12,4343
